"","Version","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan"
"Mav CC 4","Sp Scheme Exp","435386","467547","400969","452455","449568","479145","382794","483619","438477","443051","468672","431103"
"Mav CC 4","Visibility/CN -Own","470971","356118","464452","441276","371883","397827","472112","382126","448076","484639","444600","391665"
"Mav CC 4","Brand Rebate - Own E","427943","475473","423009","440748","351130","464003","484576","363211","375511","453283","390782","454370"
"Mav CC 4","Special Scheme Expen","377315","453007","402923","464839","432822","479895","475687","389439","392095","406852","427234","405534"
"Mav CC 4","Shelf & Listing Fees","1658109","1796511","1695838","1694458","1715757","1716263","1785479","1733520","1657704","1560319","1665931","1610494"
"Mav CC 4","Listing Fee - Own Ex","412742","468291","422667","356404","440035","366176","445312","482977","380878","397084","359647","440878"
"Mav CC 4","Opening Contribution","384422","454108","436522","440109","428446","457057","420119","391253","468438","395814","431010","369841"
"Mav CC 4","Shelf Rental Expense","468517","431767","395391","459823","474618","432428","447886","406647","372533","377076","396745","351655"
"Mav CC 4","Listing Fee Expenses","392428","442345","441258","438122","372658","460602","472162","452643","435855","390345","478529","448120"
"Mav CC 4","Govt., Legal & Professional","1191976","1264563","1291833","1242404","1261711","1211436","1250673","1293413","1066118","1237973","1189911","1316740"
"Mav CC 4","Audit Fees","360988","461363","437000","357654","418256","460973","466092","425191","352751","460915","351795","445703"
"Mav CC 4","Income / Corporate Tax","463172","364489","383120","443674","483035","365486","409257","405628","354358","378472","394056","419630"
"Mav CC 4","Govt. & Legal Expense Reimbursement Account","367816","438711","471713","441076","360420","384977","375324","462594","359009","398586","444060","451407"
"Mav CC 4","Depreciation","500000","2500000","3500000","4500000","4000000","2500000","2000000","3500000","1500000","1000000","2500000","2000000"
"Mav CC 4","Dep - Buildings","55555.56","277777.78","388888.89","500000","444444.44","277777.77","222222.22","388888.88","166666.66","111111.1","277777.78","222222.22"
"Mav CC 4","Dep - Furni & Fix","55555.55","277777.77","388888.89","500000.01","444444.45","277777.78","222222.22","388888.88","166666.67","111111.12","277777.77","222222.23"
"Mav CC 4","Dep - Office Equip","55555.56","277777.78","388888.89","500000","444444.44","277777.77","222222.22","388888.9","166666.67","111111.11","277777.78","222222.22"
"Mav CC 4","Dep - Computers","55555.55","277777.78","388888.89","500000","444444.45","277777.78","222222.23","388888.89","166666.66","111111.12","277777.78","222222.22"
"Mav CC 4","Deprec - Software 1","55555.55","277777.78","388888.87","500000.01","444444.44","277777.78","222222.23","388888.89","166666.66","111111.11","277777.78","222222.23"
"Mav CC 4","Dep - Elect Fittings","55555.56","277777.78","388888.9","500000","444444.44","277777.78","222222.22","388888.89","166666.67","111111.11","277777.78","222222.23"
"Mav CC 4","Dep - Machinery","55555.56","277777.78","388888.89","499999.98","444444.44","277777.78","222222.22","388888.9","166666.67","111111.11","277777.78","222222.21"
"Mav CC 4","Amortization","55555.56","277777.78","388888.89","500000","444444.45","277777.78","222222.21","388888.88","166666.67","111111.11","277777.78","222222.22"
"Mav CC 4","Depreciation Manual","55555.55","277777.77","388888.89","500000","444444.45","277777.78","222222.23","388888.89","166666.67","111111.11","277777.77","222222.22"
"Mav CC 4","Certifcation Charge- Audit","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500","7500"
"Mav CC 4","Interest & Bank Charges","753407","817050","896639","819525","754664","861024","868873","824741","916892","851041","838828","777169"
"Mav CC 4","Bank Charges","380995","432336","444059","463046","398150","462099","442235","417845","465391","434479","387579","362495"
"Mav CC 4","Interest on Term Loan","372412","384714","452580","356479","356514","398925","426638","406896","451501","416562","451249","414674"
